date,#2016debates,#2a,#aliciamachado,#apfactcheck,#benghazi,#blacklivesmatter,#bloomberg,#classact,#climatechange,#clinton,#constitution,#crookedhillary,#donaldtrump,#education,#elmorenomichael,#equalpay,#exposehillary,#fact,#factche,#factcheck,#foxnews,#hannity,#hillary,#hillaryclinton,#icymi,#imwithher,#isis,#itrus,#j4jednation,#jobs,#kellyfile,#lgbt,#lovetrumpshate,#lyinhillary,#maga,#makeamericagreatagain,#mesamvs,#micdrop,#misstrendingtopic,#mivoto2016,#momsdemandhillary,#nafta,#neverhillary,#nevertrump,#newrule,#nydebate,#out-woman-ed,#outgunned,#outnumbered,#outplanned,#paidfamilyleave,#pearlsbeforeswine,#periscope,#polls,#potus,#presidentialdebate,#rawtonight,#respect,#retweet,#rt,#scotus,#shesla,#shewon,#slipping,#smackhim,#sondeo,#stami,#stamina,#stopandfrisk,#strongertogether,#tax,#tertuliahillaryvstrump,#tntweeters,#tpp,#trump,#trumpedup,#trumpeduptrickledown,#trumpshate,#trumpwins,#tytlive,#uspresidentialdebate,#veterans,#warondrugs,#watchoutmeryl,#werewithher,#withherfirst
2016-09-26 21:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,53,339,0,0,0,0,0,0,0,0,0
2016-09-26 21:15:00,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,716,111,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,69,0,78,0,0,0,0,0,0,0,0,0
2016-09-26 21:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,186,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:40:00,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:45:00,0,0,0,126,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,43,0,0,30,0,0,0,0,876,0,0,0
2016-09-26 21:50:00,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,154,0,0,0,0,0,0,579,0,0,0,0,0,113,0,0,0,0,0,0,0,349,0,0,0
2016-09-26 21:55:00,0,111,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,94,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:05:00,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:10:00,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
