date,#1uvote,#aliciamachado,#am,#americafirst,#askaboutabortion,#baitedbyatweet,#benghazi,#bigly,#birther,#birtherism,#blacklivesmatter,#cantinfleando,#centralpark5,#centralparkfive,#chelasfortheband,#chicago,#china,#classact,#climate,#clinton,#constitution,#crookedhillary,#donaldtrump,#drink,#dtmag,#economy,#electingrecession,#elmorenomichael,#envivo,#factcheck,#foxnews,#foxnews2016,#hannity,#hillary,#hillaryclinton,#howarethosesniffles,#im,#imwithher,#isis,#kellyfile,#leadright2016,#leavethecountry,#lobotomy,#ma,#maga,#makeamericagreatagain,#mexico,#misstrendingtopic,#nafta,#nato,#nevertrump,#newversion,#nra,#onevote,#polls,#potus,#racist,#rawtonight,#saynotohillary,#slipping,#sniff,#sniffles,#sosweet,#spinroom,#stamina,#stopandfrisk,#tax,#teamtrump,#tertuliahillaryvstrump,#thatawkwardmoment,#toxictrump,#tpp,#tr,#triggerwarning,#trump,#trump2016,#trumpeduptrickledown,#trumpiswi,#trumppence,#trumppence16,#trumptrain,#trumpwins,#warofnorthernaggression,#whitesagainsttrump,#wordsmatter
2016-09-26 21:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,176,73,117,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,91,0,169,0,0,0,0,0,0
2016-09-26 21:15:00,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,136,0,99,0,0,0,89,0,0,88,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,159,0,0,0,0,0,0
2016-09-26 21:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,140,0,0,0,253,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,684,0,0,124,0,0,0,198,0,92,0,0,0,0
2016-09-26 21:25:00,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,154,0,0,0,0,0,206,0,0,0,116,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,0,0,192,0,0,0,160,0,130,0,0,0,0
2016-09-26 21:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,89,0,0,707,0,0,0,0,0,0,303,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,167,0,0,0,152,0,170,210,0,0,0
2016-09-26 21:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,700,0,0,0,0,0,0,162,0,0,0,0,0,157,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,143,0,0,0,0,132,110,0,0,243,0
2016-09-26 21:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,0,868,0,0,0,0,0,0,132,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,130,0,0,151,0,0,0,0,0,92,0,0,0,0
2016-09-26 21:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,256,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,146,0,0,151,0,0,0,118,0,111,0,0,0,0
2016-09-26 21:50:00,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,144,0,0,0,0,853,0,0,0,0,0,0,0,0,167,0,0,0,0,126,0,0,532,0,0,0,0,0,0,3076,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,327,0,0,0,0,0,0,1434,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1863,0,0,0,0,0,93,0,0,107,0,0,0,90,0,0,0,0,0,0
2016-09-26 22:00:00,0,0,0,0,0,0,0,0,245,184,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,342,0,0,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,1126,0,0,0,0,0,0,0,0,130,0,0,0,80,0,0,0,0,0,0
2016-09-26 22:05:00,0,0,0,0,0,0,0,0,156,0,0,0,129,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,199,0,0,392,0,0,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:10:00,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,122,121,0,0,0,0,0,0,0,118,0,0,490,127,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,156,0,0
