date,#1uvote,#2a,#aliciamachado,#apfactcheck,#askaboutabortion,#benghazi,#birther,#birtherism,#blacklivesmatter,#boom,#bringbernieback,#bzbfam,#classact,#cleanenergy,#climatechange,#clinton,#constitution,#crookedhillary,#cybersecurity,#donaldtrump,#dwts,#economy,#education,#electingrecession,#elmorenomichael,#emails,#envivo,#equalpay,#fact,#factche,#factcheck,#fox,#foxnews,#foxnews2016,#hairspray,#hannity,#hillary,#hillaryclinton,#hillyes,#icymi,#implicitbias,#imwither,#imwithher,#iran,#isis,#itrus,#j4jednation,#jobs,#kellyfile,#lockherup,#lyinhillary,#maga,#makeamericagreatagain,#map,#micdrop,#misstrendingtopic,#mivoto2016,#nafta,#neverhillary,#nevertrump,#orei,#out-woman-ed,#outgunned,#outnumbered,#outplanned,#overit,#paidfamilyleave,#paidleave,#pearlsbeforeswine,#pinko,#polls,#potus,#rawtonight,#retweet,#rt,#scotus,#shesla,#sheslays,#sheswithus,#shewon,#slipping,#smackhim,#sn,#stami,#stamina,#stopandfrisk,#strength,#strongert,#strongertogether,#tax,#teamtru,#tertuliahillaryvstrump,#the411,#tpp,#trump,#trump's,#trump2016,#trumpedup,#trumpeduptrickledown,#trumpeduptrickledowneconomics,#trumpl,#trumpslies,#trumptrain,#trumpwins,#tytlive,#unafraid,#upwithro,#usa,#veterans,#votolatino,#warondrugs,#watchoutmeryl,#won,#wordsmatter
2016-09-26 20:50:00,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,22,20,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,47,0,0,0,0,0,21,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 20:55:00,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,43,0,0,0,0,0,17,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,555,0,0,0,30,0,0,0,0,27,0,0,0,0,0,0,33,30,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,53,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:05:00,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,50,49,0,0,0,0,936,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,59,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,87,0,0,113,339,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,51,71,0,0,49,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,44,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,329,0,0,0,0,192,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,109,0,0,0,0,0,206,77,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,127,0,0,0,757,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,817,0,107,0,0,0,0,0,0,272,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,841,211,0,0,0,0,0,0,0,98,0,76,0,0,0,0,0,0,0,0,0
2016-09-26 21:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,738,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,59,0,0,0,315,208,0,68,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,86,72,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,576,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
