date,#1uvote,#aliciamachado,#am,#americafirst,#benghazi,#birther,#bloomberg,#cantinfleando,#centralpark5,#centralparkfive,#chelasfortheband,#climatechange,#clinton,#clintonvstrump,#constitution,#crookedhillary,#donaldtrump,#drink,#elmorenomichael,#factche,#foxnews,#hannity,#howarethosesniffles,#im,#imwithher,#isis,#kellyfile,#lawandorder,#leadright2016,#leavethecountry,#liberal,#lobotomy,#ma,#maga,#makeamericagreatagain,#mexico,#misstrendingtopic,#mivoto2016,#nafta,#namecalling,#nato,#nevertrump,#newversion,#onevote,#polls,#potus,#presidentialdebate,#publiced,#rawtonight,#slipping,#sniffles,#sondeo,#sosweet,#stamina,#stopandfrisk,#tactics,#taxreturns,#teamtrump,#tertuliahillaryvstrump,#thatawkwardmoment,#toxictrump,#tpp,#tr,#triggerwarning,#trump,#trump2016,#trumpeduptrickledown,#trumpiswi,#trumppence,#trumppence16,#trumptrain,#trumpwins,#uspresidentialdebate,#warofnorthernaggression,#whitesagainsttrump
2016-09-26 21:20:00,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,109,652,0,0,0,0,0,0,72,0,0,0,0,0,0
2016-09-26 21:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,135,0,0,0
2016-09-26 21:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,730,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
2016-09-26 21:40:00,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:45:00,0,0,0,0,0,0,0,0,0,0,0,0,141,0,260,0,0,0,0,0,0,0,0,0,593,0,0,154,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,3076,0,0,0,0,0,0,0,0,0,0,0,0,665,0,0,0,0,0,0,0,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:55:00,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,1434,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:00:00,0,0,0,0,0,61,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:05:00,0,0,0,0,0,57,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
